...1	ola - Ola Medicion	F1 - F1. ¿Es usted la persona que administra la (s) cuenta (s) que su empresa tiene con el (los) operadores de productos o servicios móviles?	"P1 - I. MODULO INDICADORES GENERALES 
    
       1. En su empresa, ¿con qué compañías tiene contratado los servicios de telefonía celular como teléfonos o banda ancha móvil? (MÚLTILPLE; LEER OPCIONES)"	EMPTY LABEL - No Information Provided...5	P2 - P2. De las empresas con las cuales tiene contratados los servicios Móviles, nos podría decir ¿Cuál es la principal? (RESPUESTA ÚNICA)	"P3 - AHORA HABLAREMOS DE SU RELACIÓN CON ENTEL 
     
           3. Pensando en su cuenta empresa, En general, con escala 1 a 7, donde 1 = Muy insatisfecho y 7= Muy satisfecho, ¿Cuán satisfecho está Ud. con ENTEL?"	p4_COD - 4. ¿Por qué evalúa con esa nota? (sondear y profundizar) LITERAL	"P5__1 - a)	Entel es una empresa con buena imagen en general  :"	"P6 - 6.	¿Y con qué nota de 1 a 7 donde 1 es muy insatisfecho y 7 es muy satisfecho, Cómo evalúa a Entel en cuanto a la Calidad y Cobertura de las llamadas?"	"P7 - 7.	Y siguiendo la misma escala de 1 a 7 ¿Cómo evalúa a Entel en cuanto al servicio de Internet a través del celular?"	P8__1 - a) Precio del Plan en relación al mercado (Competitividad) :	P8__2 - b) Competitividad de planes en cuanto a minutos :	P8__3 - c) Competitividad de planes en cuanto a Internet Móvil o internet en su celular :	P8__4 - d) El precio de los equipos en relación al mercado. :	"P9 - 9.	Y en lo que respecta a Servicio a Clientes, ¿cuán satisfecho está con ENTEL? Escala 1 a 7"	P10__1 - Contratación de nuevas líneas :	"P10__2 - 'Consultas de la factura; como fechas de pago, montos, detalles de cobros.' :"	P10__3 - Consultas sobre el detalle de tráfico de minutos o datos de sus equipos móviles :	P10__4 - Solicitar cambio de plan :	P10__5 - Servicio Técnico por falla de equipo celular o Banda Ancha Móvil :	P10__6 - Solicitar cambio de equipo por pérdida o renovación (NO por Servicio Técnico) :	P11__1 - Contratación de nuevas líneas :	"P11__2 - 'Consultas de la factura; como fechas de pago, montos, detalles de cobros.' :"	P11__3 - Consultas sobre el detalle de tráfico de minutos o datos de sus equipos móviles :	P11__4 - Solicitar cambio de plan :	P11__5 - Servicio Técnico por falla de equipo celular o Banda Ancha Móvil :	P11__6 - Solicitar cambio de equipo por pérdida o renovación (NO por Servicio Técnico) :	P12__1 - Contratación de nuevas líneas :	"P12__2 - 'Consultas de la factura; como fechas de pago, montos, detalles de cobros.' :"	P12__3 - Consultas sobre el detalle de tráfico de minutos o datos de sus equipos móviles :	P12__4 - Solicitar cambio de plan :	P12__5 - Servicio Técnico por falla de equipo celular o Banda Ancha Móvil :	P12__6 - Solicitar cambio de equipo por pérdida o renovación (NO por Servicio Técnico) :	P13__1 - Ejecutivo asignado :	P13__2 - Equipo de ejecutivos llamado Círculo de Atención Preferente - CAP :	P13__3 - Call Center Empresa :	P13__4 - Página Web Empresa (Todos) :	P13__5 - Tiendas/ Sucursales (Todos) :	P13__6 - App administradores empresas (Todos) :	P14__1 - Ejecutivo asignado :	P14__2 - Equipo de ejecutivos llamado Círculo de Atención Preferente - CAP :	P14__3 - Call Center Empresa :	P14__4 - Página Web Empresa (Todos) :	P14__5 - Tiendas/ Sucursales (Todos) :	P14__6 - App administradores empresas (Todos) :	"P15__1 - a)	El Proceso de Facturación en general :"	"P15__2 - b)	La Exactitud de los cobros :"	"P15__3 - c)	La Claridad de la factura :"	"P15__4 - d)	La Facilidad para realizar el pago :"	"P16 - IV.	MODULO INCIDENCIAS 
             16. En los últimos 3 meses, ¿ha tenido algún problema con el servicio entregado por Entel a su empresa?"	P17_COD - 17. ¿Qué problemas ha tenido? Sondear	"P18 - LEALTAD 
         18. Utilizando una escala de 1 a 7, donde 1 significa nada dispuesto y 7 significa muy dispuesto, ¿Qué tan dispuesto estaría usted a continuar con Entel?"	P19 - 19. Pensando en este periodo de crisis Covid-19 ¿Cuan satisfecho está con ENTEL como proveedor de servicios de telecomunicaciones? Escala de 1 a 7, 99= No sabe/no responde	P20 - 20. ¿Aceptaría que Entel conozca sus respuestas y lo contactara para entender en profundidad sus requerimientos/necesidades?	SEG_CORFO	"P23 - 23.	¿Cuál es el rubro de su empresa?"	"P25 - 25.	¿Ciudad o Comuna de Ubicación de su Empresa?"	"P28 - 28.	Sexo  (No preguntar):"	"P29 - 29.	REGION (no preguntar):"	EMPTY LABEL - No Information Provided...61	EMPTY LABEL - No Information Provided...62	EMPTY LABEL - No Information Provided...63	EMPTY LABEL - No Information Provided...64	EMPTY LABEL - No Information Provided...65
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	6	Mala señal	7. En absoluto acuerdo	6	6	5	5	5	6	6	No	Si	Si	Si	No	No	NA	6	6	6	NA	NA	NA	3.Página Web Entel Empresas	2.Call center	2.Call center	NA	NA	NA	NA	Sí	No	No	No	NA	NA	7. Muy Satisfecho	NA	NA	NA	6	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	7. Muy Satisfecho	6	No	PEQUEÑA	NA	NA	Mujer	REGIONES	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	6	Cobros poco claros,Mala señal	6	6	6	5	5	6	6	5	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	No	NA	NA	NA	NA	NA	NA	6	6	6	6	NO	NA	6	6	No	MEDIANA	NA	NA	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	5	Mal servicio internet / señal,Mala cobertura	6	6	4	5	5	5	5	4	No	Si	No	No	No	No	NA	5	NA	NA	NA	NA	NA	4.En tiendas/ sucursales	NA	NA	NA	NA	NA	NA	Sí	Sí	No	No	NA	NA	2	6	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	SI	Señal de internet, se cae, lento	3	3	No	MICRO	NA	NA	Mujer	REGIONES	Mas	Masivo	MICRO Y SOHO	Fijo	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	6	No Sabe/ No responde	7. En absoluto acuerdo	5	7. Muy Satisfecho	6	6	6	6	6	No	Si	Si	No	No	No	NA	6	6	NA	NA	NA	NA	99. NS/NR	5.App Administradores Empresa	NA	NA	NA	No	No	No	Sí	No	Sí	NA	NA	NA	6	NA	6	6	6	6	6	SI	Facturación	6	7. Muy Satisfecho	No	MEDIANA	NA	NA	Mujer	REGIONES	MP	Mediana	MEDIANAS	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	6	Buen servicio / calidad servicio,Buen servicio internet	6	7. Muy Satisfecho	6	5	5	5	Ns/Nr	6	No	No	No	Si	No	No	NA	NA	NA	6	NA	NA	NA	NA	NA	2.Call center	NA	NA	NA	NA	No	No	No	No	NA	NA	NA	NA	NA	NA	6	7. Muy Satisfecho	6	7. Muy Satisfecho	NO	NA	7. Muy Satisfecho	6	No	MICRO	NA	NA	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel,Movistar	NA	Entel	6	Siempre se puede mejorar	6	5	5	5	5	5	5	5	Si	Si	Si	Si	No	Si	6	5	5	6	NA	6	2.Call center	2.Call center	2.Call center	2.Call center	NA	2.Call center	Sí	Sí	Sí	Sí	Sí	No	5	5	6	6	6	NA	6	5	5	5	NO	NA	7. Muy Satisfecho	6	No	MEDIANA	NA	NA	Hombre	REGIONES	MP	Mediana	MEDIANAS	Convergente	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	6	Mala cobertura,Caro	5	5	4	5	5	5	5	6	Si	Si	Si	No	No	No	6	7. Muy Satisfecho	5	NA	NA	NA	2.Call center	5.App Administradores Empresa	5.App Administradores Empresa	NA	NA	NA	NA	NA	No	Sí	No	Sí	NA	NA	NA	6	NA	6	6	7. Muy Satisfecho	6	6	NO	NA	6	7. Muy Satisfecho	No	MICRO	NA	NA	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	6	Buena cobertura	3	6	5	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	2	2	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	No	NA	NA	NA	NA	NA	NA	6	7. Muy Satisfecho	7. Muy Satisfecho	5	NO	NA	7. Muy Satisfecho	7. Muy Satisfecho	No	PEQUEÑA	NA	NA	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	4	No solucionan problemas	4	4	5	Ns/Nr	Ns/Nr	4	Ns/Nr	1. Muy Insatisfecho	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	No	NA	NA	NA	NA	NA	NA	3	4	4	7. Muy Satisfecho	NO	NA	3	3	No	GGEE	NA	NA	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	6	Buen servicio / calidad servicio	7. En absoluto acuerdo	6	6	6	6	7. Muy Satisfecho	Ns/Nr	6	No	Si	No	No	Si	No	NA	7. Muy Satisfecho	NA	NA	7. Muy Satisfecho	NA	NA	2.Call center	NA	NA	2.Call center	NA	NA	NA	Sí	No	No	No	NA	NA	7. Muy Satisfecho	NA	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	6	7. Muy Satisfecho	SI	Señal de internet, se cae, lento	7. Muy Satisfecho	7. Muy Satisfecho	No	MEDIANA	NA	NA	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Convergente	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	5	Caro	6	5	4	5	5	4	4	5	No	No	No	Si	No	No	NA	NA	NA	5	NA	NA	NA	NA	NA	4.En tiendas/ sucursales	NA	NA	NA	NA	No	No	No	No	NA	NA	NA	NA	NA	NA	5	5	5	6	NO	NA	5	5	No	MICRO	NA	NA	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	7. Muy Satisfecho	Buena señal,Buen servicio / calidad servicio	5	6	6	5	Ns/Nr	Ns/Nr	Ns/Nr	6	No	No	No	Si	No	No	NA	NA	NA	6	NA	NA	NA	NA	NA	2.Call center	NA	NA	No	NA	Sí	No	No	No	NA	NA	6	NA	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	6	6	No	PEQUEÑA	NA	NA	Hombre	SANTIAGO	AP	GGEE	EMPRESAS	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	5	Mal servicio / calidad servicio	6	6	6	6	Ns/Nr	Ns/Nr	Ns/Nr	6	No	No	No	Si	No	No	NA	NA	NA	6	NA	NA	NA	NA	NA	2.Call center	NA	NA	NA	NA	No	No	No	No	NA	NA	NA	NA	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	6	NO	NA	6	6	No	PEQUEÑA	NA	NA	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	7. Muy Satisfecho	Buen servicio / calidad servicio,Buena atencion	7. En absoluto acuerdo	6	6	5	6	6	7. Muy Satisfecho	6	No	Si	Si	No	Si	Si	NA	7. Muy Satisfecho	6	NA	7. Muy Satisfecho	7. Muy Satisfecho	NA	5.App Administradores Empresa	5.App Administradores Empresa	NA	2.Call center	5.App Administradores Empresa	NA	NA	No	Sí	Sí	Sí	NA	NA	NA	6	7. Muy Satisfecho	5	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	7. Muy Satisfecho	7. Muy Satisfecho	No	MEDIANA	NA	NA	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	6	Buen servicio / calidad servicio	7. En absoluto acuerdo	7. Muy Satisfecho	6	Ns/Nr	Ns/Nr	6	6	6	Si	Si	No	No	No	Si	7. Muy Satisfecho	7. Muy Satisfecho	NA	NA	NA	7. Muy Satisfecho	3.Página Web Entel Empresas	3.Página Web Entel Empresas	NA	NA	NA	3.Página Web Entel Empresas	NA	NA	Sí	Sí	No	No	NA	NA	6	6	NA	NA	6	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	7. Muy Satisfecho	7. Muy Satisfecho	No	PEQUEÑA	NA	NA	Mujer	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	5	Caro	6	6	Ns/Nr	5	5	Ns/Nr	5	1. Muy Insatisfecho	No	No	No	Si	No	Si	NA	NA	NA	1. Muy Insatisfecho	NA	7. Muy Satisfecho	NA	NA	NA	4.En tiendas/ sucursales	NA	4.En tiendas/ sucursales	NA	NA	No	No	Sí	No	NA	NA	NA	NA	7. Muy Satisfecho	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	7. Muy Satisfecho	7. Muy Satisfecho	No	MICRO	NA	NA	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Convergente	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	6	Buen servicio / calidad servicio	6	5	5	5	6	6	5	4	Si	No	No	Si	No	No	5	NA	NA	5	NA	NA	3.Página Web Entel Empresas,4.En tiendas/ sucursales	NA	NA	4.En tiendas/ sucursales	NA	NA	NA	NA	Sí	No	Sí	No	NA	NA	5	NA	5	NA	5	5	5	6	NO	NA	6	5	No	PEQUEÑA	NA	NA	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	7. Muy Satisfecho	Buen servicio / calidad servicio	7. En absoluto acuerdo	6	7. Muy Satisfecho	5	7. Muy Satisfecho	5	3	7. Muy Satisfecho	No	Si	No	Si	No	No	NA	7. Muy Satisfecho	NA	7. Muy Satisfecho	NA	NA	NA	2.Call center	NA	5.App Administradores Empresa	NA	NA	NA	NA	Sí	Sí	No	Sí	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	7. Muy Satisfecho	7. Muy Satisfecho	No	MICRO	NA	NA	Mujer	REGIONES	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	6	Siempre se puede mejorar	7. En absoluto acuerdo	4	7. Muy Satisfecho	6	6	6	5	6	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	Sí	No	No	NA	NA	NA	6	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	7. Muy Satisfecho	5	No	PEQUEÑA	NA	NA	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	5	Caro	5	6	5	5	4	4	4	2	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	No	NA	NA	NA	NA	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	5	5	No	MICRO	NA	NA	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	4	No solucionan problemas	6	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	6	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	No	NA	NA	NA	NA	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	7. Muy Satisfecho	5	No	PEQUEÑA	NA	NA	Mujer	REGIONES	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	7. Muy Satisfecho	Buen servicio / calidad servicio,Solucionan requerimientos,Disponibilidad del ejecutivo	7. En absoluto acuerdo	6	6	6	6	6	6	7. Muy Satisfecho	Si	No	No	Si	No	No	6	NA	NA	7. Muy Satisfecho	NA	NA	4.En tiendas/ sucursales	NA	NA	2.Call center	NA	NA	Sí	Sí	Sí	Sí	Sí	No	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	5	NA	7. Muy Satisfecho	7. Muy Satisfecho	6	7. Muy Satisfecho	NO	NA	7. Muy Satisfecho	7. Muy Satisfecho	No	MEDIANA	NA	NA	Mujer	REGIONES	MP	Mediana	MEDIANAS	Fijo	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	5	Mala señal,Buena atencion,Mal servicio internet / señal	7. En absoluto acuerdo	5	5	6	6	6	6	5	No	Si	No	No	No	No	NA	6	NA	NA	NA	NA	NA	2.Call center	NA	NA	NA	NA	No	Sí	Sí	Sí	No	No	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NA	NA	7. Muy Satisfecho	6	6	7. Muy Satisfecho	NO	NA	4	5	No	GGEE	NA	NA	Mujer	REGIONES	MP	Mediana	MEDIANAS	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	4	Mala atención,Mal servicio internet / señal	5	5	4	6	6	6	3	1. Muy Insatisfecho	No	Si	Si	Si	No	No	NA	7. Muy Satisfecho	7. Muy Satisfecho	5	NA	NA	NA	2.Call center	5.App Administradores Empresa	4.En tiendas/ sucursales	NA	NA	No	No	Sí	No	Sí	No	NA	NA	5	NA	5	NA	5	5	3	7. Muy Satisfecho	NO	NA	4	4	No	PEQUEÑA	NA	NA	Hombre	SANTIAGO	MP	Mediana	MEDIANAS	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	5	Mal servicio internet / señal	7. En absoluto acuerdo	7. Muy Satisfecho	5	6	6	6	6	6	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	No	NA	NA	NA	NA	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	6	5	No	PEQUEÑA	NA	NA	Mujer	REGIONES	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	6	Mal servicio / calidad servicio	7. En absoluto acuerdo	6	6	6	6	6	Ns/Nr	7. Muy Satisfecho	No	No	No	Si	No	No	NA	NA	NA	7. Muy Satisfecho	NA	NA	NA	NA	NA	2.Call center	NA	NA	NA	NA	No	No	No	No	NA	NA	NA	NA	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	7. Muy Satisfecho	7. Muy Satisfecho	No	PEQUEÑA	NA	NA	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	7. Muy Satisfecho	No ha tenido problemas	7. En absoluto acuerdo	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	Ns/Nr	5	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	No	NA	NA	NA	NA	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	7. Muy Satisfecho	7. Muy Satisfecho	No	PEQUEÑA	NA	NA	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	7. Muy Satisfecho	No ha tenido problemas,Buen servicio internet	5	7. Muy Satisfecho	7. Muy Satisfecho	6	Ns/Nr	Ns/Nr	Ns/Nr	7. Muy Satisfecho	No	No	No	No	No	Si	NA	NA	NA	NA	NA	7. Muy Satisfecho	NA	NA	NA	NA	NA	4.En tiendas/ sucursales	NA	NA	No	No	No	No	NA	NA	NA	NA	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	7. Muy Satisfecho	NS/NR	No	PEQUEÑA	NA	NA	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel,Otros	GTD	{#P1._5}	5	Mal servicio postventa	6	6	5	5	5	5	3	1. Muy Insatisfecho	Si	Si	No	No	Si	Si	6	4	NA	NA	5	6	1.Ejecutivo asignado para su empresa	1.Ejecutivo asignado para su empresa	NA	NA	1.Ejecutivo asignado para su empresa	1.Ejecutivo asignado para su empresa	Sí	No	Sí	No	Sí	No	5	NA	5	NA	3	NA	1. Muy Insatisfecho	1. Muy Insatisfecho	1. Muy Insatisfecho	5	SI	Facturación	5	5	No	GGEE	NA	NA	Hombre	SANTIAGO	MP	Mediana	MEDIANAS	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	7. Muy Satisfecho	Buen servicio / calidad servicio	7. En absoluto acuerdo	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	Ns/Nr	Ns/Nr	Ns/Nr	7. Muy Satisfecho	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	No	NA	NA	NA	NA	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	7. Muy Satisfecho	7. Muy Satisfecho	No	MICRO	NA	NA	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Convergente	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel,Movistar,WOM (no mencionar)	NA	Entel	5	Mala señal	6	6	6	6	6	6	4	Ns/Nr	Si	No	Si	Si	No	No	6	NA	7. Muy Satisfecho	7. Muy Satisfecho	NA	NA	4.En tiendas/ sucursales	NA	5.App Administradores Empresa	4.En tiendas/ sucursales	NA	NA	NA	NA	No	No	No	Sí	NA	NA	NA	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	6	7. Muy Satisfecho	No	GGEE	NA	NA	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	6	Buen servicio / calidad servicio	7. En absoluto acuerdo	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	No	No	No	Si	No	Si	NA	NA	NA	7. Muy Satisfecho	NA	7. Muy Satisfecho	NA	NA	NA	4.En tiendas/ sucursales	NA	4.En tiendas/ sucursales	NA	NA	No	No	Sí	No	NA	NA	NA	NA	7. Muy Satisfecho	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	7. Muy Satisfecho	7. Muy Satisfecho	No	MICRO	NA	NA	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	6	Buena atencion	6	6	6	5	5	6	5	6	Si	Si	Si	Si	No	Si	6	6	6	6	NA	6	1.Ejecutivo asignado para su empresa	1.Ejecutivo asignado para su empresa	1.Ejecutivo asignado para su empresa,3.Página Web Entel Empresas	1.Ejecutivo asignado para su empresa	NA	1.Ejecutivo asignado para su empresa	Sí	NA	No	Sí	No	No	7. Muy Satisfecho	NA	NA	6	NA	NA	6	6	6	7. Muy Satisfecho	NO	NA	6	7. Muy Satisfecho	No	GGEE	NA	NA	Hombre	SANTIAGO	AV	GGEE	GRANDES CUENTAS	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	7. Muy Satisfecho	Buen servicio / calidad servicio	7. En absoluto acuerdo	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	5	5	No	No	No	Si	No	No	NA	NA	NA	7. Muy Satisfecho	NA	NA	NA	NA	NA	4.En tiendas/ sucursales	NA	NA	NA	NA	No	No	No	No	NA	NA	NA	NA	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	7. Muy Satisfecho	7. Muy Satisfecho	No	MEDIANA	NA	NA	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	5	Mal servicio internet / señal	6	6	5	5	5	5	6	5	No	Si	No	Si	No	No	NA	6	NA	6	NA	NA	NA	3.Página Web Entel Empresas	NA	3.Página Web Entel Empresas	NA	NA	NA	NA	Sí	Sí	No	Sí	NA	NA	6	6	NA	6	6	6	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	6	6	No	MICRO	NA	NA	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
QrdwF54slN9D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	6	Demora atención telefónica	6	6	7. Muy Satisfecho	5	7. Muy Satisfecho	7. Muy Satisfecho	Ns/Nr	6	Si	Si	No	No	No	No	7. Muy Satisfecho	7. Muy Satisfecho	NA	NA	NA	NA	3.Página Web Entel Empresas	3.Página Web Entel Empresas	NA	NA	NA	NA	Sí	No	No	Sí	No	No	7. Muy Satisfecho	NA	NA	7. Muy Satisfecho	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	7. Muy Satisfecho	7. Muy Satisfecho	No	MEDIANA	NA	NA	Mujer	REGIONES	MP	Mediana	MEDIANAS	Móvil	Stock Movil
